player_name,week_start,PA,OPS,running_total_OPS,ops_diff,ops_pct_diff
Aaron Judge,2025-03-17,15,0.879,,,
Aaron Judge,2025-03-24,16,2.101,0.879,1.222,1.391
Aaron Judge,2025-03-31,29,0.81,1.535,-0.725,-0.472
Aaron Judge,2025-04-07,26,1.051,1.163,-0.113,-0.097
Aaron Judge,2025-04-14,30,1.149,1.138,0.011,0.01
Aaron Judge,2025-04-21,27,1.269,1.139,0.129,0.114
Aaron Judge,2025-04-28,27,1.597,1.165,0.433,0.371
Aaron Judge,2025-05-05,27,1.199,1.236,-0.037,-0.03
Aaron Judge,2025-05-12,30,1.032,1.232,-0.2,-0.162
Aaron Judge,2025-05-19,26,1.28,1.207,0.072,0.06
Aaron Judge,2025-05-26,26,1.271,1.215,0.056,0.046
Aaron Judge,2025-06-02,26,1.427,1.22,0.207,0.17
Aaron Judge,2025-06-09,23,0.808,1.237,-0.429,-0.347
Aaron Judge,2025-06-16,31,0.836,1.205,-0.369,-0.306
Aaron Judge,2025-06-23,27,0.986,1.175,-0.19,-0.162
Aaron Judge,2025-06-30,33,1.485,1.162,0.323,0.278
Aaron Judge,2025-07-07,27,1.085,1.184,-0.1,-0.084
Aaron Judge,2025-07-14,14,0.857,1.178,-0.321,-0.273
Aaron Judge,2025-07-21,16,0.495,1.168,-0.673,-0.576
Aaron Judge,2025-08-04,19,0.568,1.146,-0.577,-0.504
Aaron Judge,2025-08-11,28,1.064,1.124,-0.06,-0.053
Aaron Judge,2025-08-18,27,0.644,1.122,-0.478,-0.426
Aaron Judge,2025-08-25,34,1.26,1.097,0.163,0.148
Aaron Judge,2025-09-01,27,0.694,1.106,-0.412,-0.372
Aaron Judge,2025-09-08,25,1.76,1.09,0.67,0.615
Aaron Judge,2025-09-15,33,1.039,1.116,-0.077,-0.069
Aaron Judge,2025-09-22,27,1.693,1.114,0.579,0.52
Aaron Schunk,2025-03-17,14,0.368,,,
Aaron Schunk,2025-04-14,7,0.714,0.368,0.346,0.94
Aaron Schunk,2025-04-21,14,0.462,0.488,-0.027,-0.054
Aaron Schunk,2025-05-19,8,0.25,0.478,-0.228,-0.477
Abraham Toro,2025-03-17,9,0.556,,,
Abraham Toro,2025-05-05,13,0.308,0.556,-0.248,-0.446
Abraham Toro,2025-05-12,12,0.833,0.409,0.424,1.037
Abraham Toro,2025-05-19,12,1.667,0.559,1.108,1.982
Abraham Toro,2025-05-26,20,0.75,0.848,-0.098,-0.115
Abraham Toro,2025-06-02,27,1.111,0.818,0.293,0.358
Abraham Toro,2025-06-09,21,0.707,0.9,-0.193,-0.214
Abraham Toro,2025-06-16,25,0.457,0.865,-0.408,-0.471
Abraham Toro,2025-06-23,18,0.548,0.794,-0.246,-0.31
Abraham Toro,2025-06-30,27,0.836,0.771,0.065,0.085
Abraham Toro,2025-07-07,18,0.229,0.781,-0.552,-0.707
Abraham Toro,2025-07-14,7,0.857,0.731,0.126,0.173
Abraham Toro,2025-07-21,17,0.525,0.735,-0.21,-0.286
Abraham Toro,2025-07-28,25,0.604,0.721,-0.118,-0.163
Abraham Toro,2025-08-04,18,0.284,0.71,-0.426,-0.599
Abraham Toro,2025-08-11,16,0.588,0.681,-0.093,-0.137
Abraham Toro,2025-08-18,8,0.0,0.676,-0.676,-1.0
Adael Amador,2025-04-14,19,0.343,,,
Adael Amador,2025-04-21,10,1.6,0.343,1.257,3.663
Adael Amador,2025-04-28,11,0.273,0.761,-0.489,-0.642
Adael Amador,2025-05-05,15,0.354,0.618,-0.264,-0.427
Adael Amador,2025-05-12,19,0.449,0.547,-0.098,-0.179
Adael Amador,2025-05-19,21,0.358,0.526,-0.168,-0.319
Adael Amador,2025-07-21,10,1.378,0.488,0.89,1.822
Adael Amador,2025-08-04,10,0.556,0.575,-0.019,-0.034
Adam Frazier,2025-03-17,12,0.333,,,
Adam Frazier,2025-03-24,16,0.33,0.333,-0.003,-0.009
Adam Frazier,2025-03-31,16,0.661,0.332,0.328,0.988
Adam Frazier,2025-04-07,19,0.263,0.45,-0.187,-0.415
Adam Frazier,2025-04-14,23,0.739,0.394,0.345,0.877
Adam Frazier,2025-04-21,22,0.957,0.489,0.468,0.957
Adam Frazier,2025-04-28,15,0.508,0.58,-0.072,-0.125
Adam Frazier,2025-05-05,17,0.544,0.571,-0.027,-0.047
Adam Frazier,2025-05-12,18,0.41,0.568,-0.158,-0.278
Adam Frazier,2025-05-19,24,1.113,0.55,0.563,1.024
Adam Frazier,2025-05-26,21,0.759,0.623,0.137,0.219
Adam Frazier,2025-06-02,9,0.944,0.637,0.308,0.483
Adam Frazier,2025-06-09,25,0.49,0.65,-0.16,-0.246
Adam Frazier,2025-06-16,14,0.558,0.633,-0.075,-0.118
Adam Frazier,2025-06-23,17,0.584,0.629,-0.045,-0.071
Adam Frazier,2025-07-21,8,0.393,0.627,-0.234,-0.373
Adam Frazier,2025-07-28,24,0.6,0.62,-0.02,-0.033
Adam Frazier,2025-08-04,20,0.894,0.619,0.276,0.446
Adam Frazier,2025-08-11,24,1.025,0.636,0.389,0.612
Adam Frazier,2025-08-18,21,0.449,0.664,-0.216,-0.325
Adam Frazier,2025-08-25,20,0.874,0.652,0.222,0.34
