player_name,total_pa,search_name
Aaron Judge,696,Aaron Judge
Abraham Toro,293,Abraham Toro
Adam Frazier,459,Adam Frazier
Addison Barger,503,Addison Barger
Adley Rutschman,380,Adley Rutschman
Adolis García,560,Adolis Garcia
Agustín Ramírez,586,Agustin Ramirez
Alec Bohm,510,Alec Bohm
Alec Burleson,560,Alec Burleson
Alejandro Kirk,510,Alejandro Kirk
Alejandro Osuna,160,Alejandro Osuna
Alek Thomas,482,Alek Thomas
Alex Bregman,510,Alex Bregman
Alex Call,330,Alex Call
Alex Verdugo,209,Alex Verdugo
Alexander Canario,202,Alexander Canario
Amed Rosario,161,Amed Rosario
Andrew Benintendi,485,Andrew Benintendi
Andrew Mccutchen,565,Andrew Mccutchen
Andrew Vaughn,462,Andrew Vaughn
Andrés Giménez,382,Andres Gimenez
Andy Ibáñez,194,Andy Ibanez
Andy Pages,634,Andy Pages
Angel Martínez,491,Angel Martinez
Anthony Santander,234,Anthony Santander
Anthony Volpe,613,Anthony Volpe
Austin Hays,421,Austin Hays
Austin Hedges,159,Austin Hedges
Austin Martin,192,Austin Martin
Austin Riley,463,Austin Riley
Austin Slater,155,Austin Slater
Austin Wells,465,Austin Wells
Ben Rice,553,Ben Rice
Ben Williamson,289,Ben Williamson
Blake Perkins,171,Blake Perkins
Blaze Alexander,266,Blaze Alexander
Bo Bichette,643,Bo Bichette
Bo Naylor,429,Bo Naylor
Bobby Witt,702,Bobby Witt
Brady House,274,Brady House
Brandon Lowe,572,Brandon Lowe
Brandon Marsh,435,Brandon Marsh
Brandon Nimmo,673,Brandon Nimmo
Brayan Rocchio,399,Brayan Rocchio
Brendan Donovan,533,Brendan Donovan
Brent Rooker,708,Brent Rooker
Brenton Doyle,551,Brenton Doyle
Brett Baty,443,Brett Baty
Brice Turang,659,Brice Turang
Brooks Baldwin,325,Brooks Baldwin
Brooks Lee,525,Brooks Lee
Bryan Reynolds,667,Bryan Reynolds
Bryce Harper,591,Bryce Harper
Bryson Stott,573,Bryson Stott
Byron Buxton,558,Byron Buxton
Cal Raleigh,724,Cal Raleigh
Caleb Durbin,522,Caleb Durbin
Cam Smith,495,Cam Smith
Carlos Correa,598,Carlos Correa
Carlos Narváez,447,Carlos Narvaez
Carlos Santana,482,Carlos Santana
Carson Kelly,415,Carson Kelly
Casey Schmitt,341,Casey Schmitt
Ceddanne Rafaela,598,Ceddanne Rafaela
Cedric Mullins,501,Cedric Mullins
Chandler Simpson,441,Chandler Simpson
Chase Meidroth,517,Chase Meidroth
Christian Encarnacion-Strand,150,Christian Encarnacion-Strand
Christian Moore,174,Christian Moore
Christian Vázquez,212,Christian Vazquez
Christian Walker,640,Christian Walker
Christian Yelich,654,Christian Yelich
