batter,player_name,week_start,PA,H,BB,HBP,SF,AB,TB,AVG,OBP,SLG,OPS,cum_H,cum_AB,cum_BB,cum_HBP,cum_SF,cum_TB,cum_OBP,cum_SLG,cum_OPS,running_total_OPS,ops_diff,ops_pct_diff
455117,Martín Maldonado,2025-03-17,7,1,2,0,0,5,2,0.2,0.429,0.4,0.829,1,5,2,0,0,2,0.42857142857142855,0.4,0.8285714285714285,,,
455117,Martín Maldonado,2025-03-24,9,4,0,0,0,9,4,0.444,0.444,0.444,0.889,5,14,2,0,0,6,0.4375,0.42857142857142855,0.8660714285714286,0.8285714285714285,0.0604285714285715,0.07293103448275873
455117,Martín Maldonado,2025-04-07,11,4,0,0,0,11,4,0.364,0.364,0.364,0.727,9,25,2,0,0,10,0.4074074074074074,0.4,0.8074074074074074,0.8660714285714286,-0.13907142857142862,-0.1605773195876289
455117,Martín Maldonado,2025-04-14,13,2,1,0,0,12,2,0.167,0.231,0.167,0.397,11,37,3,0,0,12,0.35,0.32432432432432434,0.6743243243243243,0.8074074074074074,-0.41040740740740733,-0.5083027522935779
455117,Martín Maldonado,2025-04-21,8,0,0,0,0,8,0,0.0,0.0,0.0,0.0,11,45,3,0,0,12,0.2916666666666667,0.26666666666666666,0.5583333333333333,0.6743243243243243,-0.6743243243243243,-1.0
455117,Martín Maldonado,2025-05-05,11,1,1,0,0,10,4,0.1,0.182,0.4,0.582,12,55,4,0,0,16,0.2711864406779661,0.2909090909090909,0.562095531587057,0.5583333333333333,0.023666666666666614,0.04238805970149251
455117,Martín Maldonado,2025-05-26,7,1,0,0,0,6,1,0.167,0.167,0.167,0.333,13,61,4,0,0,17,0.26153846153846155,0.2786885245901639,0.5402269861286255,0.562095531587057,-0.22909553158705703,-0.40757401315789477
455117,Martín Maldonado,2025-06-02,13,2,0,0,0,12,3,0.167,0.167,0.25,0.417,15,73,4,0,0,20,0.24675324675324675,0.273972602739726,0.5207258494929727,0.5402269861286255,-0.12322698612862554,-0.22810224089635867
455117,Martín Maldonado,2025-06-09,8,2,2,0,0,6,5,0.333,0.5,0.833,1.333,17,79,6,0,0,25,0.27058823529411763,0.31645569620253167,0.5870439314966494,0.5207258494929727,0.8122741505070272,1.5598882815169115
455117,Martín Maldonado,2025-06-16,13,2,1,0,0,11,3,0.182,0.25,0.273,0.523,19,90,7,0,0,28,0.26804123711340205,0.3111111111111111,0.5791523482245131,0.5870439314966494,-0.06404393149664933,-0.10909563673262312
455117,Martín Maldonado,2025-06-23,7,1,0,0,0,7,4,0.143,0.143,0.571,0.714,20,97,7,0,0,32,0.25961538461538464,0.32989690721649484,0.5895122918318795,0.5791523482245131,0.13484765177548685,0.23283623417721522
455117,Martín Maldonado,2025-06-30,11,2,1,0,0,10,2,0.2,0.273,0.2,0.473,22,107,8,0,0,34,0.2608695652173913,0.3177570093457944,0.5786265745631857,0.5895122918318795,-0.1165122918318795,-0.1976418362199429
455117,Martín Maldonado,2025-07-07,10,1,0,0,0,9,1,0.111,0.111,0.111,0.222,23,116,8,0,0,35,0.25,0.3017241379310345,0.5517241379310345,0.5786265745631857,-0.3566265745631857,-0.6163328651685394
455117,Martín Maldonado,2025-07-21,14,4,1,0,0,12,6,0.333,0.385,0.5,0.885,27,128,9,0,0,41,0.26277372262773724,0.3203125,0.5830862226277372,0.5517241379310345,0.33327586206896553,0.6040625
456781,Donovan Solano,2025-03-17,12,4,1,0,0,11,8,0.364,0.417,0.727,1.144,4,11,1,0,0,8,0.4166666666666667,0.7272727272727273,1.143939393939394,,,
456781,Donovan Solano,2025-03-24,9,1,0,0,0,9,1,0.111,0.111,0.111,0.222,5,20,1,0,0,9,0.2857142857142857,0.45,0.7357142857142858,1.143939393939394,-0.9219393939393941,-0.8059337748344371
456781,Donovan Solano,2025-03-31,7,1,0,0,0,7,1,0.143,0.143,0.143,0.286,6,27,1,0,0,10,0.25,0.37037037037037035,0.6203703703703703,0.7357142857142858,-0.4497142857142858,-0.6112621359223301
456781,Donovan Solano,2025-04-14,12,1,0,0,1,11,1,0.091,0.083,0.091,0.174,7,38,1,0,1,11,0.2,0.2894736842105263,0.48947368421052634,0.6203703703703703,-0.44637037037037036,-0.7195223880597015
456781,Donovan Solano,2025-04-21,15,2,1,0,0,14,3,0.143,0.2,0.214,0.414,9,52,2,0,1,14,0.2,0.2692307692307692,0.46923076923076923,0.48947368421052634,-0.07547368421052636,-0.15419354838709687
456781,Donovan Solano,2025-05-19,10,4,1,0,0,9,5,0.444,0.5,0.556,1.056,13,61,3,0,1,19,0.24615384615384617,0.3114754098360656,0.5576292559899118,0.46923076923076923,0.5867692307692308,1.2504918032786887
456781,Donovan Solano,2025-06-09,7,3,0,0,0,7,6,0.429,0.429,0.857,1.286,16,68,3,0,1,25,0.2638888888888889,0.36764705882352944,0.6315359477124183,0.5576292559899118,0.7283707440100883,1.3061917684305744
